"","year","selling_price","km_driven","fuel","seller_type","transmission","owner"
"101",2009,185000,77000,"Petrol","Dealer","Manual","Second Owner"
"102",2010,200000,100000,"Diesel","Individual","Manual","Second Owner"
"103",2019,615000,10000,"Petrol","Individual","Manual","First Owner"
"104",2016,270000,100000,"Petrol","Individual","Manual","Third Owner"
"105",2018,610000,35000,"Petrol","Individual","Manual","First Owner"
"106",2014,625000,70000,"Diesel","Individual","Automatic","Second Owner"
"107",2020,400000,5000,"Petrol","Individual","Manual","Second Owner"
"108",2017,866000,37800,"Petrol","Individual","Manual","First Owner"
"109",2010,700000,114000,"Petrol","Individual","Manual","First Owner"
"110",2010,300000,48000,"Petrol","Individual","Manual","First Owner"
"111",2019,1700000,32000,"Diesel","Individual","Manual","First Owner"
"112",2016,375000,100000,"Diesel","Individual","Manual","First Owner"
"113",2013,522000,150000,"Diesel","Individual","Manual","Second Owner"
"114",2013,451999,69000,"Diesel","Individual","Manual","First Owner"
"115",2009,300000,100000,"Petrol","Individual","Manual","Second Owner"
"116",2020,475000,13000,"Petrol","Individual","Manual","First Owner"
"117",2016,780000,60000,"Diesel","Individual","Manual","First Owner"
"118",2017,595000,40000,"Petrol","Individual","Manual","First Owner"
"119",2017,440000,35000,"Petrol","Individual","Manual","First Owner"
"120",2010,300000,120000,"Diesel","Individual","Manual","Second Owner"
"121",2014,400000,70000,"Diesel","Individual","Manual","Third Owner"
"122",2016,1140000,50000,"Diesel","Individual","Manual","First Owner"
"123",2017,850000,76139,"Diesel","Individual","Manual","First Owner"
"124",2012,370000,175000,"Diesel","Individual","Manual","Fourth & Above Owner"
"125",2018,350000,25000,"Petrol","Individual","Manual","First Owner"
"126",2015,360000,40000,"Petrol","Individual","Manual","Second Owner"
"127",2008,105000,65000,"Petrol","Individual","Manual","Fourth & Above Owner"
"128",2013,625000,90000,"Diesel","Individual","Manual","Second Owner"
"129",2009,135000,80000,"Petrol","Individual","Manual","Second Owner"
"130",2015,700000,110000,"Diesel","Individual","Manual","Second Owner"
"131",2019,690000,1303,"Petrol","Dealer","Manual","First Owner"
"132",2018,3975000,31800,"Diesel","Dealer","Automatic","First Owner"
"133",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner"
"134",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner"
"135",2017,4100000,17000,"Petrol","Individual","Automatic","First Owner"
"136",2019,4500000,21000,"Diesel","Dealer","Automatic","First Owner"
"137",2017,6000000,37000,"Diesel","Dealer","Automatic","First Owner"
"138",2018,3790000,29500,"Diesel","Dealer","Automatic","First Owner"
"139",2017,2150000,27000,"Diesel","Dealer","Automatic","First Owner"
"140",2019,5800000,7500,"Diesel","Dealer","Automatic","First Owner"
"141",2018,1864999,50000,"Petrol","Dealer","Automatic","First Owner"
"142",2016,2700000,35000,"Diesel","Dealer","Automatic","First Owner"
"143",2019,1750000,19000,"Petrol","Dealer","Automatic","First Owner"
"144",2017,795000,41000,"Petrol","Dealer","Automatic","First Owner"
"145",2013,625000,39000,"Petrol","Dealer","Automatic","First Owner"
"146",2018,3400000,22000,"Diesel","Dealer","Automatic","First Owner"
"147",2015,2650000,53000,"Diesel","Dealer","Automatic","First Owner"
"148",2015,535000,40000,"Diesel","Dealer","Manual","First Owner"
"149",2017,5850000,47000,"Diesel","Dealer","Automatic","First Owner"
"150",2010,975000,72200,"Petrol","Dealer","Automatic","Second Owner"
"151",2016,805000,49900,"Petrol","Dealer","Manual","First Owner"
"152",2017,2625000,9000,"Diesel","Dealer","Automatic","First Owner"
"153",2018,811000,11000,"Petrol","Dealer","Manual","First Owner"
"154",2011,375000,49000,"Petrol","Individual","Manual","First Owner"
"155",2012,550000,95000,"Petrol","Individual","Manual","First Owner"
"156",2016,645000,11000,"Petrol","Dealer","Automatic","First Owner"
"157",2018,2550000,18000,"Petrol","Dealer","Automatic","First Owner"
"158",2014,599000,46100,"Petrol","Dealer","Manual","First Owner"
"159",2017,2700000,16000,"Petrol","Dealer","Automatic","First Owner"
"160",2017,875000,18000,"Petrol","Dealer","Automatic","First Owner"
"161",2019,894999,9654,"Petrol","Dealer","Automatic","First Owner"
"162",2011,175000,11000,"Petrol","Dealer","Manual","First Owner"
"163",2012,340000,24300,"Petrol","Dealer","Manual","First Owner"
"164",2016,1525000,42163,"Diesel","Dealer","Automatic","Second Owner"
"165",2018,1025000,8000,"Diesel","Dealer","Automatic","First Owner"
"166",2016,2150000,30000,"Diesel","Dealer","Automatic","First Owner"
"167",2016,1900000,41000,"Petrol","Dealer","Automatic","First Owner"
"168",2016,2900000,12000,"Diesel","Dealer","Automatic","First Owner"
"169",2009,450000,71000,"Petrol","Dealer","Automatic","First Owner"
"170",2016,850000,20000,"Petrol","Individual","Manual","First Owner"
"171",2017,10000000,30000,"Petrol","Individual","Automatic","First Owner"
"172",2011,300000,100000,"Diesel","Individual","Manual","Second Owner"
"173",2018,575000,9500,"Petrol","Individual","Manual","First Owner"
"174",2011,160000,120000,"Diesel","Individual","Manual","First Owner"
"175",2015,515000,36600,"Petrol","Individual","Manual","First Owner"
"176",2015,390000,50000,"Petrol","Individual","Automatic","Second Owner"
"177",2016,550000,14000,"Petrol","Individual","Manual","Second Owner"
"178",1999,40000,40000,"Petrol","Individual","Manual","Second Owner"
"179",2010,220000,120000,"Diesel","Individual","Manual","First Owner"
"180",2015,425000,70000,"Petrol","Individual","Manual","First Owner"
"181",2019,480000,13000,"Petrol","Individual","Manual","First Owner"
"182",2014,400000,60000,"Petrol","Individual","Manual","Second Owner"
"183",2014,487000,35000,"Petrol","Individual","Manual","First Owner"
"184",2016,386000,44000,"Petrol","Individual","Manual","Second Owner"
"185",2005,100000,120000,"Petrol","Individual","Manual","Second Owner"
"186",2010,300000,60000,"Diesel","Individual","Manual","First Owner"
"187",2000,100000,60000,"Petrol","Individual","Manual","First Owner"
"188",2014,1750000,30000,"Diesel","Individual","Manual","Second Owner"
"189",2016,450000,15000,"Petrol","Individual","Manual","Second Owner"
"190",2017,490000,90000,"Diesel","Individual","Manual","First Owner"
"191",2009,345000,47000,"Petrol","Individual","Manual","Second Owner"
"192",2005,85000,90000,"Petrol","Individual","Manual","First Owner"
"193",2010,215000,120600,"Petrol","Individual","Manual","Second Owner"
"194",2010,320000,100000,"Petrol","Individual","Manual","Third Owner"
"195",2016,459999,60000,"Petrol","Individual","Manual","Second Owner"
"196",2005,65000,86000,"Petrol","Individual","Manual","First Owner"
"197",2020,720000,5000,"Petrol","Individual","Manual","First Owner"
"198",2017,800000,37000,"Diesel","Individual","Manual","First Owner"
"199",2019,520000,14000,"Petrol","Individual","Manual","First Owner"
"200",2015,580000,70000,"Diesel","Individual","Manual","First Owner"
"201",2012,235000,120000,"Diesel","Individual","Manual","First Owner"
"202",2015,600000,50000,"Petrol","Individual","Manual","First Owner"
"203",2014,290000,60000,"Petrol","Individual","Manual","Second Owner"
"204",2016,360000,50000,"CNG","Individual","Manual","First Owner"
"205",2017,550000,50000,"Petrol","Individual","Manual","First Owner"
"206",2013,375000,70000,"Petrol","Individual","Manual","First Owner"
"207",2003,40000,90000,"Petrol","Individual","Manual","Second Owner"
"208",2018,420000,35000,"Petrol","Individual","Automatic","First Owner"
"209",2017,550000,20000,"Petrol","Individual","Manual","First Owner"
"210",2018,270000,20000,"Petrol","Individual","Manual","First Owner"
"211",2018,700000,7800,"Petrol","Individual","Automatic","First Owner"
"212",2017,500000,20000,"Petrol","Individual","Manual","First Owner"
"213",2019,1250000,15000,"Diesel","Individual","Manual","First Owner"
"214",2013,320000,31377,"Petrol","Individual","Manual","Second Owner"
"215",2018,700000,50000,"Diesel","Individual","Manual","First Owner"
"216",2015,290000,60000,"Petrol","Individual","Manual","First Owner"
"217",2012,550000,100000,"Petrol","Individual","Automatic","First Owner"
"218",2012,265000,60000,"Petrol","Individual","Manual","First Owner"
"219",2018,830000,5000,"Petrol","Individual","Automatic","First Owner"
"220",2017,800000,60000,"Diesel","Individual","Manual","First Owner"
"221",2011,160000,25000,"Petrol","Individual","Manual","Second Owner"
"222",2018,335000,30000,"Petrol","Individual","Manual","First Owner"
"223",2017,329000,80000,"Petrol","Individual","Manual","Second Owner"
"224",2017,775000,75000,"Diesel","Individual","Manual","First Owner"
"225",2020,524000,32000,"Petrol","Individual","Manual","First Owner"
"226",2015,245000,40000,"Petrol","Individual","Manual","First Owner"
"227",2012,275000,93000,"Petrol","Individual","Manual","Second Owner"
"228",2018,520000,60000,"Petrol","Individual","Manual","First Owner"
"229",2008,130000,120000,"Petrol","Individual","Manual","Second Owner"
"230",2014,550000,37000,"Petrol","Individual","Manual","First Owner"
"231",2018,910000,15000,"Petrol","Individual","Manual","First Owner"
"232",2015,300000,80000,"Petrol","Individual","Manual","First Owner"
"233",2016,350000,140000,"Petrol","Individual","Manual","First Owner"
"234",2013,900000,70000,"Diesel","Individual","Manual","First Owner"
"235",2013,300000,120000,"Diesel","Individual","Manual","Second Owner"
"236",2010,250000,110000,"Diesel","Individual","Manual","Second Owner"
"237",2017,1100000,37000,"Diesel","Individual","Manual","First Owner"
"238",2016,270000,44000,"Petrol","Individual","Manual","First Owner"
"239",2015,640000,80000,"Diesel","Individual","Manual","First Owner"
"240",2015,650000,125000,"Diesel","Individual","Manual","First Owner"
"241",2017,409999,13500,"Petrol","Individual","Manual","First Owner"
"242",2011,165000,75000,"Petrol","Individual","Manual","First Owner"
"243",2007,80000,120000,"Petrol","Individual","Manual","Second Owner"
"244",2012,535000,120000,"Diesel","Individual","Manual","First Owner"
"245",2013,700000,70000,"Diesel","Individual","Manual","First Owner"
"246",2013,550000,70000,"Diesel","Individual","Manual","First Owner"
"247",2019,680000,15000,"Petrol","Individual","Automatic","First Owner"
"248",2009,200000,53000,"Petrol","Individual","Manual","Second Owner"
"249",2014,500000,120000,"Diesel","Individual","Manual","Second Owner"
"250",2016,1000000,70000,"Diesel","Individual","Manual","First Owner"
"251",2008,110000,120000,"Petrol","Individual","Manual","Second Owner"
"252",2012,320000,100000,"Petrol","Individual","Manual","Second Owner"
"253",2005,75000,110000,"Diesel","Individual","Manual","Second Owner"
"254",2015,350000,100000,"Petrol","Individual","Manual","First Owner"
"255",2013,170000,162500,"Diesel","Individual","Manual","First Owner"
"256",2017,800000,39000,"Diesel","Individual","Manual","First Owner"
"257",2017,500000,75000,"Diesel","Individual","Manual","First Owner"
"258",2017,1380000,50000,"Diesel","Individual","Automatic","First Owner"
"259",2019,1300000,40000,"Diesel","Individual","Manual","First Owner"
"260",2013,530000,92500,"Diesel","Individual","Manual","First Owner"
"261",2012,360000,158000,"Diesel","Individual","Manual","First Owner"
"262",2012,310000,120000,"Diesel","Individual","Manual","First Owner"
"263",2015,725000,50000,"Diesel","Individual","Manual","Second Owner"
"264",2012,340000,110000,"Diesel","Individual","Manual","First Owner"
"265",2017,550000,2000,"Diesel","Individual","Manual","Second Owner"
"266",2011,1150000,181000,"Diesel","Individual","Manual","Second Owner"
"267",2016,380000,70000,"Diesel","Individual","Manual","First Owner"
"268",2013,350000,90000,"Petrol","Individual","Automatic","Second Owner"
"269",2019,610000,2000,"Petrol","Individual","Manual","First Owner"
"270",2015,525000,20000,"Petrol","Individual","Manual","First Owner"
"271",2011,480000,120000,"Diesel","Individual","Manual","First Owner"
"272",2017,780000,35000,"Diesel","Individual","Manual","First Owner"
"273",2012,320000,193000,"Diesel","Individual","Manual","First Owner"
"274",2014,375000,80000,"Petrol","Individual","Manual","First Owner"
"275",2019,300000,40000,"Petrol","Individual","Manual","First Owner"
"276",2015,500000,70000,"Diesel","Individual","Manual","Fourth & Above Owner"
"277",2011,404000,122358,"Diesel","Individual","Manual","First Owner"
"278",2015,500000,75000,"Diesel","Individual","Manual","First Owner"
"279",2017,350000,120000,"Diesel","Individual","Manual","First Owner"
"280",2015,380000,40000,"Petrol","Individual","Manual","First Owner"
"281",2008,114999,95200,"Petrol","Individual","Manual","Third Owner"
"282",2014,335000,33033,"Petrol","Dealer","Manual","First Owner"
"283",2015,465000,63063,"Petrol","Dealer","Automatic","First Owner"
"284",2012,290000,60000,"Diesel","Individual","Manual","First Owner"
"285",2005,110000,45000,"Petrol","Individual","Manual","Second Owner"
"286",2011,450000,80000,"Diesel","Individual","Manual","Third Owner"
"287",2009,400000,170000,"Diesel","Individual","Manual","Second Owner"
"288",2007,210000,207890,"Diesel","Individual","Manual","Second Owner"
"289",2018,4600000,7976,"Diesel","Individual","Automatic","First Owner"
"290",2016,220000,35000,"Petrol","Individual","Manual","First Owner"
"291",2017,450000,35000,"Petrol","Individual","Manual","First Owner"
"292",2017,450000,35000,"Petrol","Individual","Manual","First Owner"
"293",2013,290000,50000,"Petrol","Individual","Automatic","First Owner"
"294",2016,520000,20000,"Petrol","Individual","Manual","First Owner"
"295",2011,265000,20000,"Petrol","Individual","Automatic","First Owner"
"296",2012,330000,50000,"Petrol","Individual","Manual","Second Owner"
"297",2012,330000,50000,"Petrol","Individual","Manual","Second Owner"
"298",2014,509999,120000,"Diesel","Individual","Manual","First Owner"
"299",2014,500000,70000,"Petrol","Individual","Manual","First Owner"
"300",2015,525000,50000,"Petrol","Individual","Manual","First Owner"
"301",2019,675000,16500,"Petrol","Individual","Manual","First Owner"
"302",2010,300000,70000,"Petrol","Individual","Manual","First Owner"
"303",2005,90000,99361,"Petrol","Individual","Manual","Second Owner"
"304",2017,650000,25000,"Diesel","Individual","Manual","First Owner"
"305",2014,409000,70000,"Petrol","Individual","Manual","Second Owner"
"306",2015,395000,80000,"Diesel","Individual","Manual","Second Owner"
"307",2010,215000,70000,"Petrol","Individual","Manual","Second Owner"
"308",2014,400000,70000,"Petrol","Individual","Manual","Second Owner"
"309",2012,120000,60000,"Petrol","Individual","Manual","Third Owner"
"310",2018,645000,10000,"Petrol","Individual","Automatic","First Owner"
"311",2006,81000,80000,"Petrol","Individual","Manual","First Owner"
"312",2017,1300000,30000,"Diesel","Individual","Manual","First Owner"
"313",2017,1250000,33000,"Diesel","Individual","Manual","First Owner"
"314",2013,535000,90000,"Petrol","Individual","Manual","Third Owner"
"315",2014,555000,80100,"Diesel","Individual","Manual","Second Owner"
"316",2014,725000,120000,"Petrol","Individual","Manual","First Owner"
"317",1983,300000,10000,"Diesel","Individual","Manual","Third Owner"
"318",2016,229999,40000,"Petrol","Individual","Manual","First Owner"
"319",2013,800000,160000,"Diesel","Individual","Manual","Second Owner"
"320",2017,409999,47000,"Petrol","Individual","Manual","First Owner"
"321",2018,1210000,25000,"Diesel","Individual","Manual","First Owner"
"322",2017,400000,26000,"Petrol","Individual","Manual","First Owner"
"323",2018,520000,29000,"Diesel","Individual","Manual","First Owner"
"324",2016,650000,50000,"Petrol","Individual","Automatic","First Owner"
"325",2011,325000,58000,"Petrol","Individual","Manual","Third Owner"
"326",2012,420000,120000,"Petrol","Individual","Automatic","First Owner"
"327",2014,400000,50000,"Petrol","Individual","Manual","First Owner"
"328",2010,254999,80000,"Petrol","Individual","Manual","Fourth & Above Owner"
"329",2003,65000,60000,"Petrol","Individual","Manual","Fourth & Above Owner"
"330",2017,351000,36000,"Petrol","Individual","Manual","First Owner"
"331",2007,404000,120000,"Diesel","Individual","Manual","Third Owner"
"332",2011,185000,185000,"Diesel","Individual","Manual","Third Owner"
"333",2011,250000,50000,"Diesel","Individual","Manual","First Owner"
"334",2002,60000,100000,"Petrol","Individual","Manual","Fourth & Above Owner"
"335",2013,500000,50000,"Petrol","Individual","Manual","Second Owner"
"336",2007,85000,80000,"Petrol","Individual","Manual","Second Owner"
"337",2005,85000,60000,"Petrol","Individual","Manual","Second Owner"
"338",2005,85000,80000,"Petrol","Individual","Manual","Fourth & Above Owner"
"339",2011,265000,90000,"Diesel","Individual","Manual","Fourth & Above Owner"
"340",2010,130000,162000,"Petrol","Individual","Manual","Second Owner"
"341",2013,480000,110000,"Diesel","Individual","Manual","Third Owner"
"342",2008,170000,120000,"Diesel","Individual","Manual","Third Owner"
"343",2011,275000,45000,"Diesel","Individual","Manual","First Owner"
"344",2005,89000,90000,"Petrol","Individual","Manual","Second Owner"
"345",2010,170000,90000,"Diesel","Individual","Manual","Second Owner"
"346",2019,1090000,16500,"Petrol","Dealer","Manual","First Owner"
"347",2017,1100000,67000,"Diesel","Individual","Automatic","First Owner"
"348",2018,610000,52000,"Petrol","Dealer","Manual","First Owner"
"349",2016,335000,40000,"Petrol","Dealer","Manual","First Owner"
"350",2015,434999,40000,"Petrol","Dealer","Manual","First Owner"
"351",2018,3000000,35000,"Diesel","Individual","Manual","First Owner"
"352",2018,390000,13000,"Petrol","Dealer","Manual","First Owner"
"353",2012,325000,40000,"Petrol","Dealer","Manual","First Owner"
"354",2019,640000,10000,"Petrol","Dealer","Manual","First Owner"
"355",2012,450000,9000,"Petrol","Dealer","Manual","First Owner"
"356",2013,400000,70000,"Diesel","Dealer","Manual","Second Owner"
"357",2009,215000,60000,"Petrol","Dealer","Manual","First Owner"
"358",2014,570000,40000,"Diesel","Dealer","Manual","First Owner"
"359",2012,680000,93000,"Diesel","Dealer","Manual","First Owner"
"360",2008,325000,80000,"Diesel","Individual","Manual","Fourth & Above Owner"
"361",2011,150000,50000,"Petrol","Individual","Manual","Second Owner"
"362",2013,690000,68000,"Petrol","Dealer","Automatic","First Owner"
"363",2013,1550000,25000,"Diesel","Individual","Automatic","First Owner"
"364",2012,64000,18000,"Petrol","Dealer","Manual","First Owner"
"365",2013,250000,120000,"Diesel","Individual","Manual","First Owner"
"366",2005,65000,35000,"Petrol","Individual","Manual","First Owner"
"367",2016,550000,60000,"Diesel","Individual","Manual","Second Owner"
"368",2010,140000,70000,"Petrol","Individual","Manual","Fourth & Above Owner"
"369",2016,300000,30000,"Petrol","Individual","Manual","First Owner"
"370",2016,800000,70000,"Petrol","Individual","Automatic","First Owner"
"371",2017,2625000,9000,"Diesel","Dealer","Automatic","First Owner"
"372",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner"
"373",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner"
"374",2015,503000,110000,"Diesel","Individual","Manual","First Owner"
"375",2019,3800000,20000,"Diesel","Individual","Automatic","First Owner"
"376",2016,2000000,68089,"Petrol","Trustmark Dealer","Automatic","First Owner"
"377",2013,225000,58343,"Petrol","Trustmark Dealer","Manual","First Owner"
"378",2018,740000,38817,"Diesel","Dealer","Manual","First Owner"
"379",2016,550000,56494,"Petrol","Trustmark Dealer","Manual","First Owner"
"380",2013,750000,79328,"Diesel","Trustmark Dealer","Manual","Second Owner"
"381",2019,650000,5621,"Petrol","Trustmark Dealer","Automatic","First Owner"
"382",2017,625000,25538,"Petrol","Trustmark Dealer","Manual","First Owner"
"383",2018,600000,69779,"Petrol","Dealer","Automatic","First Owner"
"384",2017,450000,56290,"Diesel","Dealer","Manual","First Owner"
"385",2019,5400000,7500,"Diesel","Dealer","Automatic","First Owner"
"386",2019,5500000,8500,"Diesel","Dealer","Automatic","First Owner"
"387",2019,779000,7032,"Petrol","Trustmark Dealer","Automatic","First Owner"
"388",2016,645000,11000,"Petrol","Dealer","Automatic","First Owner"
"389",2018,2475000,2000,"Diesel","Dealer","Automatic","First Owner"
"390",2010,150000,106000,"Petrol","Individual","Manual","Third Owner"
"391",2012,265000,162000,"Diesel","Individual","Manual","Third Owner"
"392",2009,500000,120000,"Petrol","Individual","Automatic","Second Owner"
"393",2015,480000,90000,"Diesel","Individual","Manual","First Owner"
"394",2014,535000,70000,"Diesel","Individual","Manual","Third Owner"
"395",2005,250000,240000,"Diesel","Individual","Manual","Third Owner"
"396",2012,300000,100000,"Diesel","Individual","Manual","Second Owner"
"397",2009,340000,214000,"Petrol","Individual","Manual","Second Owner"
"398",2009,340000,214000,"Diesel","Individual","Manual","Second Owner"
"399",2016,240000,50000,"Petrol","Individual","Manual","First Owner"
"400",2018,1085000,1000,"Petrol","Individual","Automatic","First Owner"
"401",2017,750000,19000,"Diesel","Individual","Automatic","First Owner"
"402",2012,95000,265000,"Diesel","Individual","Manual","Second Owner"
"403",2020,409999,35000,"CNG","Individual","Manual","First Owner"
"404",2014,215000,80000,"Petrol","Individual","Manual","Second Owner"
"405",2016,1290000,50000,"Diesel","Individual","Automatic","First Owner"
"406",2010,150000,80000,"Petrol","Individual","Manual","First Owner"
"407",2013,219000,50000,"Petrol","Individual","Manual","Second Owner"
"408",2018,325000,100000,"Petrol","Individual","Manual","First Owner"
"409",2013,260000,120000,"Petrol","Individual","Manual","Second Owner"
"410",2017,2625000,9000,"Diesel","Dealer","Automatic","First Owner"
"411",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner"
"412",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner"
"413",2015,503000,110000,"Diesel","Individual","Manual","First Owner"
"414",2019,3800000,20000,"Diesel","Individual","Automatic","First Owner"
"415",2016,2000000,68089,"Petrol","Trustmark Dealer","Automatic","First Owner"
"416",2013,225000,58343,"Petrol","Trustmark Dealer","Manual","First Owner"
"417",2018,740000,38817,"Diesel","Dealer","Manual","First Owner"
"418",2016,550000,56494,"Petrol","Trustmark Dealer","Manual","First Owner"
"419",2013,750000,79328,"Diesel","Trustmark Dealer","Manual","Second Owner"
